店舗名,郵便番号,所在地（市から最後まで）,営業時間,定休日,電話番号,ファックス,URL,コメント,緯度,経度,,
島田眼科クリニック,〒427-0028,島田市栄町4-19,午前8：30～12：00 午後3:00～6:00,毎週水曜日、日曜日、祝日、お盆、年末年始,0547-37-0431,0547-37-0331,http://shimadagannka.com/,予約は、お電話にて受け付けております。,34.830857,138.175088,,
株式会社　藤枝事務器商会,〒426-0027,藤枝市緑町２丁目2-8,,,054-641-0722,054-643-8189,http://f-jimuki.co.jp/,,34.865205,138.265695,,
株式会社　Sense of Fun,,牧之原市静波1103-2,,,054-634-0073,054-631-7806,http://www.sense-of-fun.co.jp/,美容と介護に新しい風を。,34.736899,138.224244,,
(有)島屋寝具,〒426-0046,藤枝市高洲786-2,10:00～19:00,毎週水曜日,0120-860-408,,http://muatsu.net/store/toukai/22/shop281.html,,34.833635,138.2642253,,
B-WORLD,〒426-0033,静岡県藤枝市小石川町1-7-34,[平日]10：00～20：00[土]9：00～19：00[日祝]9：00～18：00,無,054-639-7728,,https://www.happy-anda.com/salon/b-world,静岡県下最大級の複合型サロン”Ｂ－ＷＯＲＬＤ”（ビーワールド）は美容室・ネイル・カフェ・ビューティーストア・カルチャースクールの５つのトータルビューティースペースです。髪型だけでなくキレイ＋αを追求する全ての方々に向けビューティーを提供し、お客様の描く理想のキレイをサポート致します。,34.853099,138.2555643,,
GreenVillage,〒426-0034,藤枝市駅前2丁目6-8,Flower 10:00～19:00  Caf? 10:00～19:00  Lunch 11:00～Lo.14:00,Flower 水曜日・日曜日・祝日  Caf?　水曜日,054-631-7139,,http://greenvillage.jp/,,34.8522188,138.2484653,,
James English House,〒426-0018,藤枝市本町1-4-29,9：30～22:00,日曜日,054-639-1181,,http://jamesenglishhouse_eshizuoka.jp,4歳からお年寄りまで通う英語教室。講師は、アメリカニューヨーク州出身、ニューヨーク州立大卒のジェイムズ カーコスキー！！聞ける！話せる！楽しい！英会話です！！,34.940554,138.2098873,,
ホビヨン,〒426-0031,藤枝市築地539-1,10:00～21:00,,054-644-0030,,http://www.hobbyon.com/user_data/tenpo.php,,34.8585537,138.2697974,,
マグフォリア,〒426-0034,静岡県藤枝市駅前2-6-12,11:15～20:00,,054-646-5333,,,最新スニーカーに加え、ヴィンテージスニーカー、アメリカ古着、アメリカン雑貨等を扱う靴屋です。,34.8524254,138.2484957,,
マスヤシート,〒426-0037,静岡県藤枝市青木1丁目11-7,8:00～18:00,日曜・祝日,054-641-0906,,,トラックシート製造、テント販売・修理、店舗ヒヨケ取付、部活動等の横断幕仕立てその他シートに関するご相談はいつでもお気軽にどうぞ！,34.854449,138.2479453,,
Matsuge　Salon　julio,〒426-0034,藤枝市駅前2丁目8-9,10：00～21：00,,054-639-5499,,http://www.matsugesalonjulio.com,より自然により美しく30代～40代の大人女性のための完全個室プライベートサロン　無料パーキング完備　アップワードラッシュ/藤枝初眉エクステ導入店,34.8516728,138.2493584,,
ジャニごり,,,,,,,,静岡B級グルメを愛するジャニごりと申します！食いしん坊な♂３５歳です。 静岡駅周辺、焼津・藤枝を中心に食べ歩いた記録をブログにアップしています。 好きな食べ物は、焼肉を中心に肉料理全般、ラーメン、カレー、など。 がんばっている個人店を応援し、静岡県を盛り上げるのがブログの趣旨になります。どうぞよろしくお願いします！！,,,,
